round,eq_q,eq_p,eq_surplus,actual_trades,actual_total_profit,market_efficiency,avg_price,abs_diff_price,abs_diff_quantity,role_strat_perf,bot_details,buyer_vals,seller_vals
0,13,0.5975253011995579,6.078550256156777,13,6.078550256156777,1.0,0.55,0.04752530119955789,0,"{('buyer', 'zip-buyer'): {'profit': 3.181875043081849, 'count': 5}, ('seller', 'zip-seller'): {'profit': 2.8966752130749276, 'count': 5}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.03775285695147068}, {'name': 'B1', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 1.0057130817195783}, {'name': 'B2', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.9608300486640853}, {'name': 'B3', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.4096459613987776}, {'name': 'B4', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.767933094347937}, {'name': 'S0', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.3353384223159912}, {'name': 'S1', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.7770047310355079}, {'name': 'S2', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.9060781516613136}, {'name': 'S3', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.1925299975089304}, {'name': 'S4', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.6857239105531844}]","[0.9922470725858205, 0.9217265098962596, 0.912305342889376, 0.8325065326181772, 0.8243737469076314, 0.8204376297831348, 0.8016125465746553, 0.8000651323113592, 0.7896128249156874, 0.6992083316156428, 0.6637488828437452, 0.6562776331888889, 0.6177528569514706, 0.5857873539022715, 0.5332655736050008, 0.4035875305784462, 0.39873905405496446, 0.38370480861420864, 0.36584835924937553, 0.34810194289930996, 0.30763338797950246, 0.20494600207758173, 0.16568728368878083, 0.1092883976212714, 0.06534313042009643]","[0.04388040358005296, 0.06730027227364666, 0.1970220513983837, 0.20098149439511848, 0.2648561880289837, 0.28492583480905564, 0.31372789799617684, 0.40747000249106957, 0.4523282032393763, 0.45715758654038996, 0.46093367968783205, 0.5254434270373415, 0.5772977454476452, 0.5944568076620798, 0.6186732200516616, 0.619745545490325, 0.6349978834153693, 0.6529227636895261, 0.6755988748158552, 0.6905413711203235, 0.7957202632117738, 0.7982388255646697, 0.9150999978526841, 0.9165308177445435, 0.9575633866430626]"
1,12,0.4275452198700784,6.343779837528938,12,6.343779837528938,1.0,0.41583333333333333,0.011711886536745042,0,"{('buyer', 'zip-buyer'): {'profit': 3.3255531221946253, 'count': 5}, ('seller', 'zip-seller'): {'profit': 3.018226715334313, 'count': 5}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.8224039793198921}, {'name': 'B1', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.36196479542076504}, {'name': 'B2', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.38360012077526273}, {'name': 'B3', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 1.0524680622816973}, {'name': 'B4', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.7051161643970082}, {'name': 'S0', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.4388465493344252}, {'name': 'S1', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.832531634808584}, {'name': 'S2', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 1.412324766996063}, {'name': 'S3', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.0}, {'name': 'S4', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.3345237641952409}]","[0.9921346995314384, 0.9366520211936105, 0.9227983619637589, 0.896211095192994, 0.8219647954207651, 0.6377742301781497, 0.6223178024332493, 0.5296049458950927, 0.5100222659975053, 0.4948680867893467, 0.485825890597113, 0.46537892700160166, 0.24896431366061744, 0.21817619849538605, 0.21302598510136095, 0.15262466020217658, 0.14698008257684525, 0.09943039042719082, 0.06663773426460551, 0.05574650057716202, 0.05360537958861278, 0.053265461317952845, 0.04207644014414391, 0.03424822934630678, 0.021838980394252472]","[0.017670245924945482, 0.03780394708566337, 0.04296152045921475, 0.053371664840927036, 0.1252745582479453, 0.1259175121232483, 0.1373533874060977, 0.2488778198703977, 0.2588293751524009, 0.2658788924176295, 0.2681228483986614, 0.3897115127385551, 0.4637785505123847, 0.4857827232163241, 0.5424248912786797, 0.5484088761196835, 0.6370306389898059, 0.6671873940487714, 0.7052298216442072, 0.705453333939206, 0.7395938178864462, 0.748498264884665, 0.7798503307641831, 0.8621229501368931, 0.9497119876231928]"
2,15,0.4653264427399088,8.019752209512536,15,8.019752209512536,1.0,0.49066666666666664,0.025340223926757832,0,"{('buyer', 'zip-buyer'): {'profit': 4.1908074810466935, 'count': 5}, ('seller', 'zip-seller'): {'profit': 3.8289447284658413, 'count': 5}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.4458475688753101}, {'name': 'B1', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.6248098381390171}, {'name': 'B2', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 1.0171040209763658}, {'name': 'B3', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 1.3712499541708547}, {'name': 'B4', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.7317960988851455}, {'name': 'S0', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 1.5588882263347896}, {'name': 'S1', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.3119610279728747}, {'name': 'S2', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.9085168141986679}, {'name': 'S3', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.0}, {'name': 'S4', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 1.049578659959509}]","[0.9718072185468831, 0.9519237004016622, 0.91584756887531, 0.9030160672025912, 0.8863932814556641, 0.8468999171164537, 0.7771880366573208, 0.7716605576388367, 0.7446442764399168, 0.7115720240546656, 0.708416556683353, 0.680358572286908, 0.6139406683202606, 0.5682049449047353, 0.498934090462132, 0.4476547389110713, 0.42249009706275287, 0.41373307448131424, 0.3910650476459584, 0.37265517571177953, 0.3106633429848177, 0.3095100594777752, 0.2505139477308629, 0.05921279338724106, 0.0072267409916046965]","[0.024576859154312514, 0.04290285168364316, 0.08126868748778526, 0.1128098542161029, 0.12413038027767909, 0.2214018463205324, 0.24258698455924266, 0.256792675078913, 0.262123746036213, 0.30306378559312086, 0.3359455002017713, 0.34745589841728686, 0.362093471825354, 0.38218393566451614, 0.4317187950176856, 0.4719199108226453, 0.6753845568494435, 0.6995760157177915, 0.727989474765333, 0.7304687886308477, 0.7323434823341332, 0.7508304616014307, 0.8088269597383148, 0.8704514800302633, 0.9566311107691148]"
3,14,0.5067024161494137,6.922530369808719,14,6.922530369808719,1.0,0.4942857142857142,0.012416701863699475,0,"{('buyer', 'zip-buyer'): {'profit': 3.6161697616758675, 'count': 5}, ('seller', 'zip-seller'): {'profit': 3.306360608132852, 'count': 5}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.7237087537020005}, {'name': 'B1', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.2040289740660065}, {'name': 'B2', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 1.3051663268964369}, {'name': 'B3', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.4709473385169597}, {'name': 'B4', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.9123183684944638}, {'name': 'S0', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.7562752881573066}, {'name': 'S1', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.7817408658910256}, {'name': 'S2', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.6838002812925283}, {'name': 'S3', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.2741958215712087}, {'name': 'S4', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.8103483512207824}]","[0.9727922174540083, 0.8909997326896457, 0.8746174674554303, 0.8357169522266237, 0.8275012315377229, 0.7959393361079763, 0.791260850597782, 0.7708945925525932, 0.7271887913823855, 0.6750080024089834, 0.66133867366689, 0.6453129296116844, 0.5426903003991165, 0.5249086835850251, 0.48247579314171607, 0.3417508797967447, 0.26389725260764907, 0.25065067901033133, 0.20002688466269058, 0.16683435268096913, 0.12129730305423347, 0.09569679168815293, 0.07157078095822245, 0.048448653137576736, 0.04793619737525556]","[0.023007107511868408, 0.03746963279001392, 0.11078950131896048, 0.12853580368937612, 0.18343498726595475, 0.18653417793965787, 0.2158041784287913, 0.28054152933478815, 0.3597993522666253, 0.3645816671501836, 0.3724221033503974, 0.3868343528253251, 0.4753888492814037, 0.4884961487138023, 0.5004032187698787, 0.5131267552147033, 0.5492720466191006, 0.5685678070965924, 0.6780980482733184, 0.7111059853168419, 0.7440136406658818, 0.8002712982077158, 0.8183342425081244, 0.8215536777544571, 0.9405332892167461]"
4,11,0.4997637513676224,4.659095593553026,11,4.659095593553026,1.0,0.4854545454545454,0.014309205913076994,0,"{('buyer', 'zip-buyer'): {'profit': 2.4670027907446648, 'count': 5}, ('seller', 'zip-seller'): {'profit': 2.192092802808361, 'count': 5}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.27449248686775896}, {'name': 'B1', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.7179911855046119}, {'name': 'B2', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.18082049920845977}, {'name': 'B3', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.7117022233959764}, {'name': 'B4', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.5819963957678577}, {'name': 'S0', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.27069024887970267}, {'name': 'S1', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.5649520838147336}, {'name': 'S2', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.5422624403947831}, {'name': 'S3', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.696782121973683}, {'name': 'S4', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.11740590774545856}]","[0.9130448310011476, 0.9021493328899701, 0.8358418526146418, 0.7786573923948288, 0.7303743032440948, 0.6460837533169695, 0.645509771591491, 0.6384755815275578, 0.5961123209322718, 0.5884087335507894, 0.532344917680902, 0.4947004724642482, 0.4190624296528179, 0.3078101940212592, 0.29153613952677393, 0.2884319701354475, 0.2710875626363811, 0.16061829008960415, 0.14764009249715604, 0.13827448062051062, 0.11810224361292365, 0.10283154685581919, 0.06922185772496181, 0.062347968430676914, 0.0290350575673457]","[0.12126033411246995, 0.15212600043986524, 0.20110888013206185, 0.2221271660659545, 0.22393903605320453, 0.286477225492747, 0.34301860759855296, 0.3596414663747507, 0.3625940922545414, 0.408431803613148, 0.46718258505434285, 0.5154210389427583, 0.5581305406400127, 0.5581893626063404, 0.5697565995782908, 0.5811335527098475, 0.6416322730236036, 0.6593461945098879, 0.7309380082307491, 0.8130820547285574, 0.8229904586277841, 0.9741424293110407, 0.9755941550624647, 0.9917015862067972, 0.9949491200863296]"
5,12,0.42778598555066605,5.331635458859209,12,5.33163545885921,1.0000000000000002,0.4516666666666666,0.023880681116000557,0,"{('buyer', 'zip-buyer'): {'profit': 2.788762108607113, 'count': 5}, ('seller', 'zip-seller'): {'profit': 2.542873350252097, 'count': 5}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.159723743754901}, {'name': 'B1', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.08047140338464348}, {'name': 'B2', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.4555565550897012}, {'name': 'B3', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.7656800720736042}, {'name': 'B4', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 1.3273303343042626}, {'name': 'S0', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.2669222293401478}, {'name': 'S1', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.8172639887438617}, {'name': 'S2', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.3987111147355324}, {'name': 'S3', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.3227041896676383}, {'name': 'S4', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.7372718277649166}]","[0.9445545097890891, 0.937358895853148, 0.8576243318674945, 0.7925416100436572, 0.7645063590246696, 0.7440566783937514, 0.6113602502682741, 0.573014945046044, 0.5135493811814401, 0.4992357890768344, 0.49047140338464346, 0.4804879546780666, 0.4237176353803236, 0.3298938158483239, 0.3215159064608335, 0.2569807301552176, 0.2500091543703793, 0.20347785378146177, 0.19782822271041078, 0.1881227950503499, 0.15188609624584892, 0.12628018207438396, 0.11786316065719482, 0.11009107985821065, 0.0981190658304768]","[0.037424577659145974, 0.11448081524821918, 0.19286939337885767, 0.22221179390909618, 0.23329183728398473, 0.23608898394849565, 0.2522135886252507, 0.27519990131597194, 0.28538580262906144, 0.3008641820346015, 0.35201175729195266, 0.3750840164232655, 0.4764801051369977, 0.489430655832637, 0.49552153163970303, 0.5938701920645894, 0.5951732601308346, 0.6768301549866682, 0.7181322217171836, 0.7470792466274893, 0.8012459261568996, 0.8132714733933104, 0.8549330937552297, 0.9234418660894896, 0.9808739882957332]"
6,11,0.38041888694396964,5.425333367416161,11,5.42533336741616,0.9999999999999999,0.4354545454545455,0.05503565851057585,0,"{('buyer', 'zip-buyer'): {'profit': 2.843592607215288, 'count': 5}, ('seller', 'zip-seller'): {'profit': 2.581740760200872, 'count': 5}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.25582234237013474}, {'name': 'B1', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.5175703189906956}, {'name': 'B2', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 1.1460770989478315}, {'name': 'B3', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.8289347539255584}, {'name': 'B4', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.09518809298106756}, {'name': 'S0', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.7617354737594026}, {'name': 'S1', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.08330629756363594}, {'name': 'S2', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.4572065911929986}, {'name': 'S3', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.49380626300253505}, {'name': 'S4', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.7856861346822996}]","[0.9820822201992491, 0.9020992591115826, 0.826474665311669, 0.8254928083211666, 0.7775202134369136, 0.7220115368842589, 0.6758223423701347, 0.572077510669529, 0.5248239579297169, 0.4164787765032547, 0.40870931647781283, 0.39311772169531556, 0.3494219674844483, 0.330876385218561, 0.3207950065253019, 0.2802385492529681, 0.2366680579314877, 0.19909183015705845, 0.18410566308117693, 0.14502670035103193, 0.14375904817346086, 0.11429959692407277, 0.0990790679959489, 0.02719095316659159, 0.0005413000618091912]","[0.1223229288412877, 0.1252041796622878, 0.12722750132242577, 0.132680676734641, 0.13306034657830956, 0.16392041932517054, 0.19227331767229439, 0.2804704799657137, 0.28440568726063353, 0.2945652450262376, 0.35212845741012644, 0.40674878325076724, 0.43347280534666854, 0.4870241201198692, 0.5223007624915363, 0.5476231573088971, 0.5689949641733406, 0.5953118507890313, 0.6179860138557679, 0.7231670940142795, 0.7791788444689365, 0.7881075036071327, 0.8754864237252591, 0.8774048678049988, 0.9672011657153275]"
7,14,0.41612204183248247,8.135342822682542,14,8.13534282268254,0.9999999999999998,0.45642857142857146,0.04030652959608899,0,"{('buyer', 'zip-buyer'): {'profit': 4.263065982609284, 'count': 5}, ('seller', 'zip-seller'): {'profit': 3.8722768400732566, 'count': 5}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.8882409030199888}, {'name': 'B1', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.602419057390891}, {'name': 'B2', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.9798797069393812}, {'name': 'B3', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.9720753423669852}, {'name': 'B4', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.8204509728920373}, {'name': 'S0', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 1.469820901369957}, {'name': 'S1', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.08411191255004974}, {'name': 'S2', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.18798162238182525}, {'name': 'S3', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.8303779449940365}, {'name': 'S4', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 1.299984458777388}]","[0.9813959348204145, 0.9613909714544793, 0.9429387032033163, 0.9388586063829487, 0.931493012488476, 0.9053716005448768, 0.8943328463680636, 0.7584025493735818, 0.6373561248969879, 0.5979460749196845, 0.5966882541883689, 0.5452107293336323, 0.5110231225704764, 0.4506574520639761, 0.4429631286834833, 0.41814630882679005, 0.4107900299941337, 0.39769466023150857, 0.27778785704827824, 0.273536326459192, 0.19231311155160769, 0.17028570045970348, 0.16526217016214695, 0.0737658822610231, 0.028406429735005956]","[0.008349103243921796, 0.04463414796642973, 0.06315116215000416, 0.11434594226447636, 0.11483010748175515, 0.12254959868166948, 0.13918902060184646, 0.17502864074963398, 0.20612923455444743, 0.22165047087453382, 0.2904317460171859, 0.2999592662898999, 0.33588808744995025, 0.3815866316009888, 0.4478288878447746, 0.4599292675535921, 0.5248592580470149, 0.6899751817000251, 0.692695661321024, 0.7145345375105157, 0.7383389174462233, 0.801435690459662, 0.8650939926358112, 0.9658545959207364, 0.9714114213435957]"
8,12,0.4609162442033984,5.674263273840452,12,5.674263273840452,1.0,0.4883333333333333,0.027417089129934902,0,"{('buyer', 'zip-buyer'): {'profit': 2.9728000779600445, 'count': 5}, ('seller', 'zip-seller'): {'profit': 2.7014631958804074, 'count': 5}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.47444540495437604}, {'name': 'B1', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.9608256301924917}, {'name': 'B2', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.7141881285750558}, {'name': 'B3', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.3908892132231673}, {'name': 'B4', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.43245170101495384}, {'name': 'S0', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 1.1340685579201177}, {'name': 'S1', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.8373853362326258}, {'name': 'S2', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.2772169314239754}, {'name': 'S3', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.2782356714889106}, {'name': 'S4', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.17455669881477814}]","[0.8824517010149538, 0.8552728627618521, 0.8325922616429786, 0.8002564919380676, 0.7937538687338784, 0.7866478628310809, 0.7777665301512612, 0.7617988986967611, 0.6877975421232951, 0.6343875113396605, 0.5406327212850996, 0.47944182544115554, 0.45321799934095097, 0.4494551144980158, 0.42171423046978973, 0.40843232270800334, 0.37679423678292057, 0.36128470823295455, 0.34030446554215465, 0.270972151126454, 0.2544046153119093, 0.2203080801226992, 0.14575120623792814, 0.09099266477973844, 0.0016670816439957603]","[0.049558094393286845, 0.08726502311538675, 0.15540726889794831, 0.17300760975535423, 0.20278306857602457, 0.21215877794917481, 0.31419978511407165, 0.3220068401332138, 0.36305263821958067, 0.4169495466220339, 0.41975748837787563, 0.4423906629656412, 0.4747201522487152, 0.5014083241253694, 0.5114007007206209, 0.5164748211429181, 0.5315152085186106, 0.6536430488798151, 0.735159094121263, 0.7525082391991758, 0.7999285389855731, 0.8321895338983424, 0.8442822320292924, 0.9300412723299021, 0.9886593242024471]"
9,10,0.35561831451229475,5.371720071007546,10,5.371720071007547,1.0000000000000002,0.356,0.00038168548770523003,0,"{('buyer', 'zip-buyer'): {'profit': 2.8145864033087187, 'count': 5}, ('seller', 'zip-seller'): {'profit': 2.5571336676988285, 'count': 5}}","[{'name': 'B0', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.3797281127153161}, {'name': 'B1', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.7120847498269052}, {'name': 'B2', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.2660679724196224}, {'name': 'B3', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 1.0262276266423265}, {'name': 'B4', 'role': 'buyer', 'strategy': 'zip-buyer', 'profit': 0.43047794170454834}, {'name': 'S0', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 1.5026200452112382}, {'name': 'S1', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.28878709302668254}, {'name': 'S2', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.34370936987910466}, {'name': 'S3', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.23337300927417354}, {'name': 'S4', 'role': 'seller', 'strategy': 'zip-seller', 'profit': 0.18864415030762954}]","[0.9902923560265576, 0.835203651864771, 0.7897281127153161, 0.7337133996041139, 0.5873105751734418, 0.5852935294873385, 0.4878370174446085, 0.47518441221720986, 0.47179239380034754, 0.41823095497501384, 0.40087292209587544, 0.38778905058122837, 0.3645212737672061, 0.3637172828959987, 0.33997899195444836, 0.3387115409215249, 0.33525498678574484, 0.28705488534608825, 0.25377263785310955, 0.24680231427238908, 0.14076216830370203, 0.1366820050009241, 0.07583678989364107, 0.06317631450990957, 0.04478587989811933]","[0.007295728034724336, 0.03463481056880491, 0.058768381645569745, 0.0766810345396629, 0.09662699072582648, 0.10135584969237044, 0.10820723292374179, 0.11135027028540379, 0.11494035983549156, 0.29300567404957567, 0.44121582763094414, 0.47116949128832186, 0.515142590721643, 0.5167242427174542, 0.5247787333725861, 0.5363353449942354, 0.5573534609830993, 0.5607527502438482, 0.6288903131217128, 0.6651266207366441, 0.7177140471816434, 0.7411833487617853, 0.7484149842455269, 0.7635929384909241, 0.8080747680271179]"
